385	10 (C D E F G H I J K L)
Agriornis_albicauda	0011000010
Agriornis_lividus	0100100100
Agriornis_micropterus	0000001110
Agriornis_montanus	0001000110
Agriornis_murinus	0000001100
Alectrurus_risora	0000001100
Alectrurus_tricolor	1001001000
Uromyias_agilis	0001000000
Uromyias_agraphia	0001000010
Anairetes_alpinus	0000000010
Anairetes_flavirostris	0000001110
Anairetes_nigrocristatus	0001000010
Anairetes_parulus	0001000110
Anairetes_reguloides	0100000000
Aphanotriccus_audax	1101000000
Aphanotriccus_capitalis	0001000000
Arundinicola_leucocephala	0101001000
Atalotriccus_pilaris	1001001000
Attila_bolivianus	1001001000
Attila_cinnamomeus	1001001000
Attila_citriniventris	0001000000
Attila_phoenicurus	1001001000
Attila_rufus	0001001000
Attila_spadiceus	1001001000
Attila_torridus	1001000000
Camptostoma_imberbe	1101000000
Camptostoma_obsoletum	0101001000
Capsiempis_flaveola	0101001000
Casiornis_fuscus	0101001000
Casiornis_rufus	1001001000
Cnemarchus_erythropygius	0001000010
Cnemotriccus_fuscatus	0101001000
Cnipodectes_subbrunneus	1001000000
Cnipodectes_superrufus	0001000000
Colonia_colonus	1001001000
Colorhamphus_parvirostris	0000100000
Conopias_albovittatus	0001000001
Conopias_cinchoneti	0001000000
Conopias_parvus	0001001000
Conopias_trivirgatus	0001001000
Contopus_albogularis	0001000000
Contopus_cinereus	1001001000
Contopus_cooperi	0111000000
Contopus_fumigatus	0001000000
Contopus_lugubris	0001000000
Contopus_nigrescens	0001000000
Contopus_ochraceus	0001000000
Contopus_pertinax	1100000000
Contopus_sordidulus	0001010100
Contopus_virens	0001100100
Corythopis_delalandi	1001001000
Corythopis_torquatus	0001001000
Culicivora_caudacuta	1001001000
Deltarhynchus_flammulatus	1000000000
Elaenia_albiceps	0001001100
Elaenia_chiriquensis	1001001000
Elaenia_cristata	1100001000
Elaenia_dayi	0001001000
Elaenia_flavogaster	1001001000
Elaenia_frantzii	1001000010
Elaenia_gigas	1001001000
Elaenia_martinica	0001000000
Elaenia_mesoleuca	0001001001
Elaenia_obscura	0001001010
Elaenia_pallatangae	0001001010
Elaenia_parvirostris	1001001000
Elaenia_pelzelni	0001000000
Elaenia_ruficeps	0001001000
Elaenia_spectabilis	0101001000
Elaenia_strepera	0101001000
Empidonax_affinis	1101000000
Empidonax_albigularis	1001000001
Empidonax_alnorum	0011100000
Empidonax_atriceps	0001000000
Empidonax_difficilis	1010010000
Empidonax_flavescens	1001000000
Empidonax_flaviventris	0010100100
Empidonax_fulvifrons	1100000000
Empidonax_hammondii	0110010000
Empidonax_minimus	0010100100
Empidonax_oberholseri	1100010000
Empidonax_occidentalis	1100010000
Empidonax_traillii	0100010100
Empidonax_virescens	0001100100
Empidonax_wrightii	1100000000
Empidonomus_aurantioatrocristatus	0001001100
Empidonomus_varius	0101001000
Euscarthmus_meloryphus	0101001000
Euscarthmus_rufomarginatus	1001001000
Fluvicola_albiventer	0101001000
Fluvicola_nengeta	0101001000
Fluvicola_pica	1001001000
Gubernetes_yetapa	1001001000
Hemitriccus_cinnamomeipectus	1001000000
Hemitriccus_diops	0101001000
Hemitriccus_flammulatus	1001001000
Hemitriccus_furcatus	0001001000
Hemitriccus_granadensis	1001000000
Hemitriccus_griseipectus	0101001000
Hemitriccus_inornatus	0001000000
Hemitriccus_iohannis	0001001000
Hemitriccus_josephinae	0001001000
Hemitriccus_kaempferi	0001000001
Hemitriccus_margaritaceiventer	0101001000
Hemitriccus_minimus	1010001000
Hemitriccus_minor	1001001000
Hemitriccus_mirandae	0101000000
Hemitriccus_nidipendulus	0101001000
Hemitriccus_obsoletus	0001001000
Hemitriccus_orbitatus	0001001000
Hemitriccus_rufigularis	0001000010
Hemitriccus_spodiops	0001000000
Hemitriccus_striaticollis	1001001000
Hemitriccus_zosterops	1001001000
Hirundinea_ferruginea	1001001000
Hymenops_perspicillatus	1000001100
Inezia_caudata	1001001000
Inezia_inornata	1001001000
Inezia_subflava	1001001000
Inezia_tenuirostris	1101000000
Knipolegus_aterrimus	0001001100
Knipolegus_cyanirostris	1001001000
Knipolegus_franciscanus	1000001000
Knipolegus_hudsoni	1000001100
Knipolegus_lophotes	1001001000
Knipolegus_nigerrimus	1101000000
Knipolegus_orenocensis	0001000000
