"LONG" "LAT"
"1" -7686422.318 -1255814.212
"2" -7912266.728 -763243.5813
"3" -7720887.957 -771437.5049
"4" -3583842.095 -779725.7209
"5" -3470671.212 -891787.7513
"6" -8066058.891 -544287.1044
"7" -7918280.94 -517869.1197
"8" -7720887.957 -517523.4631
"9" -7523226.954 -1279265.588
"10" -3965328.904 -1279265.588
"11" -3769645.472 -1277016.821
"12" -3617708.153 -1220282.843
"13" -7914966.462 -260574.7793
"14" -7720887.957 -263609.4214
"15" -7325565.951 -1279265.588
"16" -7918132.055 -10255.55391
"17" -7720887.957 -9695.379594
"18" -5735380.053 -5582729.246
"19" -5546616.926 -5595804.298
"20" -5357795.155 -5612855.222
"21" -5204722.002 -5646285.317
"22" -5744277.929 -5341890.257
"23" -5546616.926 -5341890.257
"24" -5393230.782 -5316529.288
"25" -5932279.593 -5079883.052
"26" -5744277.929 -5087976.215
"27" -5546616.926 -5087976.215
"28" -5383570.093 -5109139.915
"29" -6135350.593 -4828575.949
"30" -5941938.931 -4834062.173
"31" -5744277.929 -4834062.173
"32" -5550111.021 -4831131.506
"33" -5361668.991 -4813435.783
"34" -6139599.934 -4580148.131
"35" -5941938.931 -4580148.131
"36" -5744277.929 -4580148.131
"37" -5546616.926 -4580148.131
"38" -5352206.652 -4573076.908
"39" -5154805.867 -4557107.982
"40" -5010085.112 -4529140.665
"41" -6139599.934 -4326234.09
"42" -5941938.931 -4326234.09
"43" -5744277.929 -4326234.09
"44" -5546616.926 -4326234.09
"45" -5348955.923 -4326234.09
"46" -5154790.797 -4331654.252
"47" -5009310.86 -4403163.962
"48" -4847816.524 -4203242.427
"49" -5941938.931 -4072320.048
"50" -5744277.929 -4072320.048
"51" -5546616.926 -4072320.048
"52" -5348955.923 -4072320.048
"53" -5134711.428 -4046049.35
"54" -4953100.541 -4071468.865
"55" -4802706.31 -4047893.134
"56" -5941938.931 -3818406.006
"57" -5744277.929 -3818406.006
"58" -5546616.926 -3818406.006
"59" -5348966.191 -3818394.09
"60" -5151175.288 -3818253.73
"61" -4953633.917 -3818406.006
"62" -4781175.745 -3811379.097
"63" -4628979.435 -3752373.787
"64" -6139599.934 -3564491.964
"65" -5941938.931 -3564491.964
"66" -5546616.926 -3564491.964
"67" -5348955.923 -3564491.964
"68" -5151294.92 -3564491.964
"69" -4953633.917 -3564491.964
"70" -4756875.145 -3563109.056
"71" -4605406.01 -3537668.674
"72" -6139599.934 -3310577.923
"73" -5941938.931 -3310577.923
"74" -5744277.929 -3310577.923
"75" -5546616.926 -3310577.923
"76" -5348955.923 -3310577.923
"77" -5151294.92 -3310577.923
"78" -4953633.917 -3310577.923
"79" -4755972.915 -3310577.923
"80" -4594330.043 -3321787.5
"81" -6337260.937 -3056663.881
"82" -6139599.934 -3056663.881
"83" -5941938.931 -3056663.881
"84" -5744277.929 -3056663.881
"85" -5546616.926 -3056663.881
"86" -5348955.923 -3056663.881
"87" -5151294.92 -3056663.881
"88" -4953633.917 -3056663.881
"89" -4755972.915 -3056663.881
"90" -4578778.951 -3036411.045
"91" -4439290.099 -2950155.905
"92" -6534921.94 -2802749.839
"93" -6337260.937 -2802749.839
"94" -6139599.934 -2802749.839
"95" -5941938.931 -2802749.839
"96" -5744277.929 -2802749.839
"97" -5546616.926 -2802749.839
"98" -5348955.923 -2802749.839
"99" -5151294.92 -2802749.839
"100" -4953633.917 -2802749.839
"101" -4755972.915 -2802749.839
"102" -4558311.912 -2802749.839
"103" -4365587.938 -2793479.51
"104" -4166271.698 -2746088.762
"105" -4013128.14 -2728701.353
"106" -6689903.914 -2536618.132
"107" -6534921.94 -2548835.797
"108" -6337260.937 -2548835.797
"109" -6139599.934 -2548835.797
"110" -5941938.931 -2548835.797
"111" -5744277.929 -2548835.797
"112" -5151294.92 -2548835.797
"113" -4953633.917 -2548835.797
"114" -4755972.915 -2548835.797
"115" -4558311.912 -2548835.797
"116" -4360650.909 -2548835.797
"117" -4162989.906 -2548835.797
"118" -3981484.108 -2538080.736
"119" -3865093.01 -2426326.208
"120" -6724158.77 -2287622.747
"121" -6534921.94 -2294921.756
"122" -6337260.937 -2294921.756
"123" -6139599.934 -2294921.756
"124" -5941938.931 -2294921.756
"125" -5744277.929 -2294921.756
"126" -4360650.909 -2294921.756
"127" -4162989.906 -2294921.756
"128" -3965328.904 -2294921.756
"129" -3850910.207 -2276993.873
"130" -7113544.78 -1976170.145
"131" -6924187.583 -2031614.878
"132" -6732582.943 -2041007.714
"133" -6534921.94 -2041007.714
"134" -6337260.937 -2041007.714
"135" -6139599.934 -2041007.714
"136" -5941938.931 -2041007.714
"137" -4755972.915 -2041007.714
"138" -4360650.909 -2041007.714
"139" -4162989.906 -2041007.714
"140" -3965328.904 -2041007.714
"141" -3839927.04 -2036355.465
"142" -7319684.907 -1778989.631
"143" -7127904.948 -1787093.672
"144" -6930243.945 -1787093.672
"145" -6732582.943 -1787093.672
"146" -6534921.94 -1787093.672
"147" -6337260.937 -1787093.672
"148" -6139599.934 -1787093.672
"149" -4755972.915 -1787093.672
"150" -4162989.906 -1787093.672
"151" -3965328.904 -1787093.672
"152" -3848171.305 -1800892.471
"153" -7507305.432 -1515252.766
"154" -7325565.951 -1533179.63
"155" -7127904.948 -1533179.63
"156" -6930243.945 -1533179.63
"157" -6732582.943 -1533179.63
"158" -6534921.94 -1533179.63
"159" -4162989.906 -1533179.63
"160" -3965328.904 -1533179.63
"161" -3801212.569 -1498886.235
"162" -7717638.528 240156.2168
"163" -7523226.954 244218.6622
"164" -7681054.573 494669.4641
"165" -7523226.954 498132.7039
"166" -7677527.542 753533.6072
"167" -7523226.954 752046.7457
"168" -7862228.607 -966380.7482
"169" -7520715.533 1002618.35
"170" -7720185.268 -1024476.418
"171" -7523226.954 -1025351.547
"172" -6732582.943 -1279265.588
"173" -6534921.94 -1279265.588
"174" -3575994.473 -1020218.683
"175" -3470237.886 -981512.1371
