	Struthioniformes	Tinamiformes	Craciformes	Galliformes	Anseriformes	Turniciformes	Piciformes	Galbuliformes	Bucerotiformes	Upupiformes	Trogoniformes	Coraciiformes	Coliiformes	Cuculiformes	Psittaciformes	Apodiformes	Trochiliformes	Musophagiformes	Strigiformes	Columbiformes	Gruiformes	Ciconiiformes	Passeriformes
com_1	2	0	0	0	2	0	1	1	0	1	0	2	0	0	5	0	1	1	2	0	0	4	0
com_2	0	0	0	0	1	0	1	0	0	5	0	0	4	2	5	0	0	0	5	0	2	1	0
com_3	0	2	0	0	0	5	4	0	0	5	0	0	2	5	0	2	2	0	2	4	5	4	1
com_4	5	0	4	2	0	0	4	4	5	1	2	0	0	1	1	1	1	0	1	4	0	2	0
com_5	4	1	5	0	0	2	0	1	4	1	0	0	0	0	4	1	5	0	2	0	5	0	0
com_6	0	5	5	0	5	1	0	4	0	2	4	0	2	0	0	4	0	0	0	4	0	2	0
com_7	0	5	0	0	5	5	0	4	0	4	0	0	0	5	0	1	0	2	4	0	0	0	0
com_8	0	0	1	0	0	4	2	2	0	0	0	2	0	5	2	1	2	2	1	5	0	2	4
com_9	2	0	0	2	2	1	0	2	0	1	1	2	0	4	1	4	4	4	0	2	4	5	5
com_10	2	0	0	2	1	2	5	0	5	4	2	0	5	0	0	2	4	0	4	5	5	0	1
com_11	2	5	0	0	5	5	0	1	0	0	0	5	4	4	1	0	0	1	0	0	0	0	4
com_12	2	5	4	1	1	0	2	0	5	0	5	0	0	4	1	0	0	1	1	0	4	2	0
com_13	2	1	5	5	1	0	0	2	2	1	5	4	1	5	1	0	4	0	1	4	0	0	5
com_14	0	0	0	5	1	1	4	0	0	1	0	1	2	0	4	0	0	4	0	0	5	1	5
com_15	0	4	1	5	0	1	4	0	0	4	0	1	4	0	0	4	0	0	0	0	2	1	0
com_16	0	4	5	0	0	4	5	0	5	0	1	4	0	0	0	2	4	5	0	0	0	0	0
com_17	0	5	0	1	0	1	2	2	1	0	4	0	0	0	5	5	5	5	2	0	0	1	5
com_18	4	4	0	2	0	0	2	0	2	0	0	0	0	2	5	2	0	0	5	5	2	2	1
com_19	4	0	0	2	5	5	5	0	1	5	4	0	0	4	5	1	4	0	4	2	2	0	0
com_20	2	0	0	0	2	0	5	4	0	0	4	1	0	0	5	0	1	4	4	4	0	4	0
com_21	0	0	0	5	1	0	5	0	4	0	1	2	5	4	0	0	0	4	5	0	5	4	2
com_22	0	5	0	4	1	4	2	2	0	0	4	2	0	0	0	0	0	1	0	0	0	1	1
com_23	0	1	0	1	4	0	0	1	0	1	0	2	0	5	5	4	5	0	2	5	5	1	2
com_24	2	5	5	4	2	0	2	2	1	5	0	2	5	5	1	1	0	0	0	0	0	2	4
com_25	0	1	0	2	2	0	0	4	0	0	0	1	2	5	1	2	5	0	0	1	1	0	0
com_26	1	4	2	0	0	0	1	1	0	0	0	0	0	0	4	0	1	0	0	0	0	1	0
com_27	0	4	0	2	1	2	4	4	0	1	0	4	0	0	1	0	5	5	2	2	0	0	0
com_28	2	5	0	0	4	0	2	0	0	0	1	2	0	5	0	2	1	2	4	4	1	2	1
com_29	4	5	4	2	5	0	2	0	2	2	0	0	0	0	4	0	0	0	0	0	4	1	5
com_30	5	2	2	5	4	1	4	0	0	2	5	1	0	0	2	1	5	4	0	0	5	2	0
com_31	0	5	0	2	2	1	0	0	2	1	0	0	0	4	2	0	1	0	0	4	4	0	0
com_32	0	5	5	0	1	4	4	4	0	0	1	0	0	0	4	5	2	0	0	0	5	1	5
com_33	0	4	1	0	5	0	0	5	0	0	1	5	2	5	0	4	0	0	0	0	5	1	1
com_34	4	0	0	0	4	1	5	4	0	0	1	1	5	0	4	0	1	4	5	0	0	0	0
com_35	0	4	0	2	5	0	0	5	1	5	4	1	1	0	0	0	0	5	0	0	0	2	4
com_36	2	0	1	4	0	0	2	0	0	4	0	4	4	0	0	4	0	1	0	1	1	2	5
com_37	1	4	5	2	0	0	5	2	0	4	1	1	0	4	5	0	2	4	0	0	4	5	0
com_38	1	0	0	0	0	0	0	5	5	0	5	0	4	4	1	2	0	0	0	0	1	0	4
com_39	0	2	0	4	0	4	0	0	4	0	1	1	4	2	1	1	0	0	0	0	5	2	0
com_40	0	2	0	4	0	0	0	0	5	4	0	5	0	0	0	2	2	0	0	5	2	5	0
com_41	0	1	0	1	0	2	2	0	0	2	0	2	0	0	1	1	0	0	0	5	1	1	0
com_42	1	1	1	1	2	0	1	2	1	2	1	1	0	4	1	0	5	4	0	4	4	0	5
com_43	0	5	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	4	4	0	0	1
com_44	0	1	5	4	4	0	1	0	2	5	5	2	0	1	0	5	5	0	1	0	5	4	1
com_45	0	0	5	4	0	1	0	0	0	4	1	1	1	2	0	2	0	1	0	0	1	0	0
com_46	0	1	0	0	0	5	5	0	2	0	2	0	4	1	1	5	2	0	0	0	1	0	0
com_47	0	5	2	0	1	4	4	2	0	5	1	1	0	4	0	0	0	0	5	1	1	2	4
com_48	5	0	0	2	0	1	0	0	0	5	0	0	5	0	0	0	4	2	4	4	2	0	1
com_49	0	4	2	0	0	2	2	4	2	1	0	0	0	1	0	0	5	5	1	5	0	0	2
com_50	0	0	0	4	0	0	5	1	0	0	2	0	5	1	0	2	5	0	0	4	2	0	5
