LONG	LAT	SES.SIZE.DISPARITY	SES.SHAPE.VENTRAL
-70.28	-54.87	-0.505629402	-0.260894603
-69.28	-54.87	-0.36493805	-0.191901133
-68.28	-54.87	-0.462676392	-0.074574142
-67.28	-54.87	-0.516738713	-0.259201693
-66.28	-54.87	-0.863949809	-1.12257338
-72.28	-53.87	-1.078006532	-0.981005726
-71.28	-53.87	-0.647314117	-0.005030103
-70.28	-53.87	-0.664343816	0.004096172
-69.28	-53.87	-0.395689759	-0.004806739
-68.28	-53.87	-0.474468866	-0.28443501
-73.28	-52.87	-0.619096451	-0.268840957
-72.28	-52.87	-0.559163485	-0.222718666
-71.28	-52.87	-0.717414015	-0.191359649
-70.28	-52.87	-0.698825919	-0.275199585
-69.28	-52.87	-0.4890158	-0.326759349
-73.28	-51.87	-0.852412583	-0.843924904
-72.28	-51.87	-0.853731328	-0.975592073
-71.28	-51.87	-0.676112578	-0.841988308
-70.28	-51.87	-0.672487412	-1.294557176
-69.28	-51.87	-0.419737022	-0.244965748
-74.28	-50.87	-0.946383444	-1.333718896
-73.28	-50.87	-0.978676908	-0.802256442
-72.28	-50.87	-0.739134316	-1.04247383
-71.28	-50.87	-0.707069638	-0.783963025
-70.28	-50.87	-0.552656667	-1.343154987
-69.28	-50.87	-0.366098069	-0.800940993
-75.28	-49.87	-0.848590688	-1.705406948
-74.28	-49.87	-1.158507109	-1.495989608
-73.28	-49.87	-0.723574739	-0.903166818
-72.28	-49.87	-0.959469919	-0.99295298
-71.28	-49.87	-0.60051823	-0.55535436
-70.28	-49.87	-0.368973547	-1.264412087
-69.28	-49.87	-0.225305434	-0.944796594
-68.28	-49.87	-0.358126097	-1.018672997
-75.28	-48.87	-1.302150518	-1.380462267
-74.28	-48.87	-0.940863911	-1.170248051
-73.28	-48.87	-0.649638617	-0.608221867
-72.28	-48.87	-0.734629106	-0.627271757
-71.28	-48.87	-0.67739517	-0.716572857
-70.28	-48.87	-0.411760722	-1.556311438
-69.28	-48.87	-0.433126089	-1.313163998
-68.28	-48.87	-0.390962136	-1.546928188
-67.28	-48.87	-0.173559995	-1.583099056
-74.28	-47.87	-0.916070276	-1.139755199
-73.28	-47.87	-0.726601456	-0.553124916
-72.28	-47.87	-0.748583443	-0.575224802
-71.28	-47.87	-0.614671757	-0.659551324
-70.28	-47.87	-0.466714662	-1.563362482
-69.28	-47.87	-0.570889322	-1.579135463
-68.28	-47.87	-0.319198086	-1.509421411
-67.28	-47.87	-0.297847037	-1.654654293
-66.28	-47.87	-0.218083933	-1.73781616
-74.28	-46.87	-0.822311361	-0.823938482
-73.28	-46.87	-0.730064539	-0.275383858
